6/30-7/4,MM
7/7- 7/11,DF
7/14-7/18,IM
7/21-7/25,MG
7/28-8/1,XD
8/4-8/8,ZT
8/11- 8/15,EZ
8/18-8/22,MD
8/25-8/29,MM
9/1-9/5,AM
9/8-9/12,DF
9/15-9/19,AM
9/22-9/26,AA
9/29-10/3,MG
10/6-10/10,XD
10/13-10/17,ZT
10/20-10/24,EZ
10/27-10/31,MD
11/3-11/7,MM
11/10-11/14,AM
11/17-11/21,DF
11/24-11/28,MD
12/1-12/5,AA
12/8-12/12,MG
12/15-12/19,XD
12/22-12-26,EZ
12/29-1/2/26,IM
01/05-01/09,AM
01/12-01/16,MM
01/19-01/23,AA
01/26-01/30,XD
02/02-02/06,ZT
02/09-02/13,EZ
02/16-02/20,MD
02/23-02/27,MM
03/02-03/06,AM
03/09-03/13,AM
03/16-03/20,IM
03/23-03/27,MG
03/30-04/03,XD
04/06-04/10,ZT
04/13-04/17,EZ
04/20-04/24,MD
04/27-05/01,IM
05/04-05/08,DF
5/11-5/15,ZT
05/18-05/22,AA
05/25-05/29,MG
06/01-06/05,IM
06/08-06/12,AA
06/15-06/19,ZT
06/22-06/26,DF
